id;TitleEN;ShortdescriptionEN;City;Adres;Zipcode;Latitude;Longitude;Urls;Thumbnail;Tripadvisor ratting;user rating
11;A'DAM Toren;Looming tall over the Amsterdam North skyline, this landmark 22-floor tower is home to a selection of bars, restaurants and a rooftop observation deck with stunning views across Amsterdam.;AMSTERDAM;Overhoeksplein 1;1031 KS;52.384419;4.902449;http://adamtoren.nl/;https://media.iamsterdam.com/ndtrc/Images/75/75118f41-a7f7-4b8a-a381-64883eff35e8/00eb9c3b-1abf-4da8-8a7b-1467aee9f578.jpg;4;0
12;Albert Cuypmarkt;There's no place like the Albert Cuyp street market to discover Amsterdam's typical sense of humour and laid back atmosphere. The Albert Cuypmarkt is the largest and most popular outdoor market in the Netherlands, with 260 stands operating six days a week selling everything from Vietnamese spring rolls to freshly made stroopwafels.;AMSTERDAM;Albert Cuypstraat;1073 BL;52.357203;4.892747;http://www.albertcuypmarkt.nl;https://media.iamsterdam.com/ndtrc/Images/0a/0aa4879d-90f3-49f4-b775-6114e807390d/9aaad4f5-51e9-4395-b4c7-af75c12d2bb2.jpg;4;0
13;Amstelkerk;Built in the 17th century, this wooden church can be found on the Amstelveld, one of the prettiest squares in Amsterdam. It was designed by Daniel Stalpaert, the renowned Dutch architect who helped create the Royal Palace, several city gates and 's Lands Zeemagazijn, the current home of the Scheepvaartmuseum.;AMSTERDAM;Amstelveld 10;1017 JD;52.362434;4.898023;http://www.stadsherstel.nl/cultuuragenda;https://media.iamsterdam.com/ndtrc/Images/20101026/e22c89c1-f4d7-45ce-93b8-8cd791fe7741.jpg;4;0
14;Amstelpark;Located the southern edge of Amsterdam, Amstelpark is an expansive park filled with a multitude of flower gardens, a playground and a petting zoo. There is also an on-site gallery with two exhibition spaces: the Glazen Huis (glass house) and the Orangerie. ;AMSTERDAM;Arent Janszoon Ernststraat 1;1082 LT;52.33207;4.875705;http://www.speeltuin-amstelpark.nl;https://media.iamsterdam.com/ndtrc/Images/20101122/097c22bb-11a9-44f2-b621-38208e7f09c4.jpg;4.5;0
15;Amsterdam Cheese Museum;Dutch cheese has a more than 600 years long tradition and the names of different sorts of cheese are often taken from different cities in the Netherlands ? Gouda, Edam, Leerdammer, Leyden, Maaslander, Maasdam and of course a gourmet Old Amsterdam.;AMSTERDAM;Prinsengracht 112;1015 EA;52.376381;4.884267;http://www.facebook.com/AmsterdamCheeseMuseum;https://media.iamsterdam.com/ndtrc/Images/20120731/2ef0ff7f-b5e8-454c-af4c-c84c5801b4d5.jpg;4;0
16;Amsterdam Science Park;Amsterdam Science Park is located on the eastern side of Amsterdam. The complex combines science with working and living space, covering an area of 70 hectares, which is the size of 98 football pitches.;AMSTERDAM;Kruislaan 404;1098 SM;52.35429;4.951068;http://www.amsterdamsciencepark.nl;https://media.iamsterdam.com/ndtrc/Images/20101116/1b0977e0-7313-45d0-b3c0-7ecbc000676f.jpg;4;0
17;Amsterdam Tattoo Museum;Amsterdam Tattoo Museum will open it's doors fall 2011.;AMSTERDAM;Van Woustraat 78HS;1073 LP;52.355274;4.900699;http://www.amsterdamtattoomuseum.com;https://media.iamsterdam.com/ndtrc/Images/20110714/73625582-1c80-469f-a51e-5bd287572668.jpg;4.5;0
18;Amsterdam Tulip Museum;Located in the Jordaan district, the Amsterdam Tulip Museum pays tribute to this delicate flower that has ignited great passion and envy over the centuries. The museum details Holland's fascinating horticultural story, including a phenomenon known as &quot:Tulipomania&quot:.;AMSTERDAM;Prinsengracht 116;1015 EA;52.376381;4.884267;http://www.amsterdamtulipmuseum.com,http://www.facebook.com/pages/Amsterdam-Tulip-Museum;https://media.iamsterdam.com/ndtrc/Images/20101122/29671b74-fc2c-4975-8703-f116b5e8a671.jpg;4.5;0
19;Amsterdamse Poort;At this modern shopping centre in Amsterdam Zuidoost, you'll find not only the standard C&As and Coolcats that grace many Dutch high streets, but also lots of exotic eateries, delis and tokos (Indonesian takeaways).;AMSTERDAM;Bijlmerplein;1102 DB;52.315404;4.955784;http://www.amsterdamsepoort.nl/;https://media.iamsterdam.com/ndtrc/Images/c3/c3e9dbe7-4acc-4f62-a3d4-781556083b88/6be97f7e-633c-4922-889a-ae4350a5a00f.jpg;3;0
20;Anne Frank House;Anne Frank is one of Amsterdam's most well known former residents. The Anne Frank House at Prinsengracht 263 in Amsterdam is where she lived in hiding with her family for more than two years during World War II. Now converted into a museum it contains a sobering exhibition about the persecution of the Jews during the war, as well as discrimination in general.;AMSTERDAM;Prinsengracht 267;1016 GV;52.37521;4.883906;http://www.annefrank.org,http://www.facebook.com/annefrankhouse;https://media.iamsterdam.com/ndtrc/Images/20101028/e8955076-58ec-467f-ac29-58905a01bfa4.jpg;4.5;0
21;ARTIS Amsterdam Royal Zoo;ARTIS Amsterdam Royal Zoo was the first zoo to be established in the Netherlands, and it?s located right in the centre of Amsterdam. It?s a place where nature and cultural heritage come together: a place where history has been created since 1838 and where new stories are created daily. Come experience them for yourself.;AMSTERDAM;Plantage Kerklaan 38-40;1018 CZ;52.366101;4.916811;http://www.artis.nl,http://www.amsterdamticketshop.nl/1136;https://media.iamsterdam.com/ndtrc/Images/92/9265439c-bc12-4bab-b907-5d99aa1b632e/d5af92ea-0536-4b49-94ff-1525f61d11e8.jpg;4.5;0
22;Begijnhofkapel;The Begijnhofkapel (Begijnhof chapel) is also known as the Johannes en Ursula Kerk.  Built in 1672, the chapel serves as a centre for meditation and prayer. On Sundays, the chapel holds services in both Dutch and French.;AMSTERDAM;Begijnhof 30;1012 WT;52.369384;4.889815;http://www.begijnhofamsterdam.nl/;https://media.iamsterdam.com/ndtrc/Images/20101109/3d938a04-cc85-48e1-94a0-842c3bac256a.jpg;4.5;0
23;Blijburg aan Zee;Sandy beach by the water with a bohemian vibe in the eastern part of IJburg in Amsterdam. In the summer, take in the sun and sand, food and drinks, live music and evening campfires. In autumn and winter you can still enjoy the amazing views from Blijburg aan Zee, as fortunately the caf̩ is extremely cosy.;AMSTERDAM;Pampuslaan 501;1087 LA;52.351636;5.006041;http://www.blijburg.nl;https://media.iamsterdam.com/ndtrc/Images/6b/6babd8fb-1c7c-4d43-99ff-357a1b1a6d6c/3c3bcb36-d53f-4a03-9924-53afc3438b42.jpg;3.5;0
24;Brandt en Levie;Sausage kings Brandt & Levie have conquered Amsterdam in very short time from their Houthavens factory. You'll find them serving up delicious sizzlers from their pink food truck at many of Amsterdam's food festivals and other events. ;AMSTERDAM;Archangelkade 9;1013 BE;52.396645;4.871095;http://brandtenlevie.nl;https://media.iamsterdam.com/ndtrc/Images/80/809d60c1-bd40-473b-b5b2-144bc2529d17/17d7ec27-0dae-47bc-bd5b-c03a90e7d86b.jpg;4.5;0
25;Canal Cruise by open boat (75 min);Discover Amsterdam's narrowest canals and hidden corners on this 75-minute tour on a small open boat. Thanks to its small size, the boat can reach places regular canal cruise boats cannot manoeuvre through. Therefore, in addition to boating on the River Amstel and through the popular 17th-century Canal Ring, the tour visits the narrow canals of the Red Light District.;AMSTERDAM;Damrak 26;1012 LJ;52.376294;4.896859;http://www.tours-tickets.com;https://media.iamsterdam.com/ndtrc/Images/20140702/ab852664-6fe4-48a7-af38-d3b6e3753a8a.jpg;4.5;0
26;De Waag;Amsterdam's House of Weights, known locally as De Waag, is a remarkable monument situated on the Nieuwmarkt.;AMSTERDAM;Nieuwmarkt 4;1012 CR;52.373058;4.900137;http://www.indewaag.nl;https://media.iamsterdam.com/ndtrc/Images/20140422/5713f1af-c684-40a5-949d-f0e93bba6d21.jpg;4;0
27;Diamant Museum (Amsterdam Diamond Museum);The Diamant Museum (Amsterdam Diamond Museum) takes you on a journey that began 3 billion years ago, 200 kilometres under the surface of the earth. The journey ends with the beautiful cut diamonds and the Amsterdam Diamond Museum. Come visit and learn more about Amsterdam?s roles as an important diamond centre for more than four centuries.;AMSTERDAM;Paulus Potterstraat 8;1071 CZ;52.359431;4.88248;http://www.diamantmuseumamsterdam.nl,http://www.amsterdamticketshop.nl/4701;https://media.iamsterdam.com/ndtrc/Images/20101124/2f87ff36-e979-4f0d-baef-4571c8c8a408.jpg;3.5;0
28;Dutch Accent;A good stop for souvenirs that go beyond traditional Delftware mementoes and slogan t-shirts, Dutch Accent, located in the centre of Amsterdam, is both a gallery and a shop offering art, exclusive gifts and souvenirs. ;AMSTERDAM;Berenstraat 41;1016 GG;52.370287;4.884359;http://www.dutch-accent.nl;https://media.iamsterdam.com/ndtrc/Images/67/6724ce68-1ae4-4011-9841-de028f542408/2623419f-5858-4a8e-873f-a6fa8f0e914d.jpg;5;0
29;Foam;Foam is an internationally renowned Amsterdam museum that exhibits all genres of photography in a beautiful canal-side setting. As well as displaying a wide variety of works, it acts as a creative hub where photographers can meet and participate in forums and symposiums. ;AMSTERDAM;Keizersgracht 609;1017 DS;52.363957;4.893294;http://www.foam.org,http://www.amsterdamticketshop.nl/6120,http://www.facebook.com/FoamAmsterdam;https://media.iamsterdam.com/ndtrc/Images/20101124/e21ef06c-035c-4c24-ba92-5f60e9560590.jpg;4;0
30;Galerie Mokum;Founded in 1962, Galerie Mokum has focused on promoting Dutch figurative and realistic art for over forty years. The gallery frequently offers new exhibitions featuring a variety of established artists and new talent.;AMSTERDAM;Oudezijds Voorburgwal 334;1012 GM;52.36935;4.894035;http://www.galeriemokum.com/;https://media.iamsterdam.com/ndtrc/Images/20101122/5e490eae-49bc-405d-8634-b44f841f5206.jpg;3.8;0
31;Heineken Experience;Housed inside Heineken's historic brewery in the centre of Amsterdam, this interactive museum will take you on an exciting, behind-the-scenes journey through the wild world of one of Europe's most popular pilsners. It's now among the city's most visited attractions, drawing hundreds of thousands of visitors annually. ;AMSTERDAM;Stadhouderskade 78;1072 AE;52.357981;4.891327;http://www.heinekenexperience.com,http://www.amsterdamticketshop.nl/4531;https://media.iamsterdam.com/ndtrc/Images/20101026/14652b47-e01f-4315-8208-28f96c060367.jpg;4;0
32;Hermitage Amsterdam;The Hermitage Amsterdam is the Dutch branch of the world-famous Hermitage museum in Saint Petersburg, Russia. Located on the banks of the Amstel River, the Hermitage Amsterdam is an exhibition space and cultural education centre with a focus on Russian history and culture.;AMSTERDAM;Amstel 51;1018 EJ;52.365312;4.902542;http://www.hermitage.nl/,http://www.amsterdamticketshop.nl/6122,http://www.facebook.com/hermitage.amsterdam;https://media.iamsterdam.com/ndtrc/Images/4a/4a57161c-9ebc-4175-98f4-37f79d7c1763/0192917c-b455-4490-81a1-e99d273bdfe2.jpg;4;0
33;Hortus Botanicus Amsterdam (Botanical Garden);For nearly four centuries, Amsterdam's Hortus Botanicus has regaled visitors with its lush greenhouses and exotic plants. Originally founded in 1638 to serve as a herb garden for the city's doctors and pharmacists, it's one of the oldest botanical gardens in the world.;AMSTERDAM;Plantage Middenlaan 2A;1018 DD;52.367295;4.908167;http://dehortus.nl/;https://media.iamsterdam.com/ndtrc/Images/20101028/c27ae575-ca2c-4a64-be3d-bb36f1aa24e0.jpg;4;0
34;Hortus Botanicus Vrije Universiteit;Large herbarium and tropical greenhouses with orchids, a collection of bonsai trees (Japanese miniature trees) and the largest collection of cactuses and succulents in The Netherlands.   ;AMSTERDAM;Van der Boechorststraat 8;1081 BT;52.33248;4.860603;http://www.vu.nl/nl/over-de-vu/cultuur-kunst/hortus-botanicus/index.asp;https://media.iamsterdam.com/ndtrc/Images/20101122/8258bd68-becf-4c89-b0bf-6b177ca980d4.jpg;4;0
35;Klimmuur Centraal;Climbing hall. The location is highly suitable for company outings and it is possible to combine a visit to this hall with a canal tour or water taxi.;AMSTERDAM;Dijksgracht 2;1019 BS;52.37659;4.913169;http://www.deklimmuur.nl/;https://media.iamsterdam.com/ndtrc/Images/20121210/77297743-8221-4235-a2fb-ed8b3eb9b663.jpg;4.5;0
36;Koninklijk Paleis (Royal Palace);The Koninklijk Paleis (Royal Palace) on Amsterdam's Dam Square is one of three palaces still in use by the Dutch royal family. It is used for state visits, award ceremonies and other official receptions. When the palace is not being used by the royal family, it is open to the public. Visitors can explore the magnificent interior and discover the rich history of the building.;AMSTERDAM;Dam;1012 JS;52.373127;4.89008;http://www.paleisamsterdam.nl;https://media.iamsterdam.com/ndtrc/Images/20101125/7e4a86f3-a549-4e6a-a44a-a45e7bfb23d6.jpg;4;0
37;Medieval Torture Museum;The Medieval Torture Museum has a collection of more than 100 devices used for torture in medieval times. This unique collection of photos, drawings and instruments of torture reveals the grim character of the middle ages.;AMSTERDAM;Damrak 33;1012 LK;52.3759;4.89662;http://www.tortureamsterdam.com/;https://media.iamsterdam.com/ndtrc/Images/20101116/f8271ee2-e0ba-4929-a827-84579ddc1095.jpg;3;0
38;NEMO Science Museum;Take a voyage of discovery at NEMO Science Museum in Amsterdam, where children can playfully experience science and technology all day long. The museum is situated in an unmistakable, sloping green building, set amidst the city's Eastern Docklands.;AMSTERDAM;Oosterdok 2;1011 VX;52.374238;4.912014;http://www.nemosciencemuseum.nl/,http://www.amsterdamticketshop.nl/1125,http://www.facebook.com/NEMOsciencemuseum;https://media.iamsterdam.com/ndtrc/Images/33/3329e497-a157-440c-840f-69307ae362a7/50753f00-70c0-4a24-b85d-77dd69aa25d6.jpg;4;0
39;Noorderkerk;The Noorderkerk is a lovely 16th-century church located in the centre of Amsterdam in the charming Jordaan district. Besides functioning as an active protestant church, the building serves as one of the city's most beautiful event venues.;AMSTERDAM;Noordermarkt 44;1015 NA;52.379543;4.886304;http://www.noorderkerk.org,http://www.noorderkerkconcerten.nl,http://www.facebook.com/noorderkerkconcerten;https://media.iamsterdam.com/ndtrc/Images/20101116/ad89f762-c397-4d07-8f76-bcff89f3d544.jpg;3.5;0
40;Olympic Stadium Amsterdam;The Olympic Stadium, built for the 1928 games, has continued through the decades to play host to a multitude of events, sporting and otherwise. Located in Amsterdam Zuid, the monument also provides office space for upwards of thirty businesses.;AMSTERDAM;Olympisch Stadion 21;1076 DE;52.343049;4.854315;http://olympischstadion.nl/nl;https://media.iamsterdam.com/ndtrc/Images/20120508/db620643-cde5-411e-a491-3ccdba24c3c7.jpg;4;0
41;Onze Lieve Vrouwekerk (Church of Our Lady);The Onze Lieve Vrouwe Kerk (Church of Our Lady) is also known as the Keizersgrachtkerk. This neo-gothic church was built between 1852 and 1854, and is used for services by the Syrian Orthodox community, the Surinamese Roman Catholic community and the general Roman-Catholic community.;AMSTERDAM;Keizersgracht 220;1016 DZ;52.37311;4.884498;http://www.amsterdam.onze-lieve-vrouw.nl;https://media.iamsterdam.com/ndtrc/Images/20101116/00f57e2b-d1c6-4464-addf-67ff8128111e.jpg;4;0
42;Red Light Secrets;Experience an intriguing world that remains hidden to many as you uncover the truth behind Amsterdam's most notorious neighbourhood: the Red Light District.;AMSTERDAM;Oudezijds Achterburgwal 60H;1012 DP;52.373679;4.898936;http://www.redlightsecrets.com/;https://media.iamsterdam.com/ndtrc/Images/92/926fa07b-8be5-498e-8c42-677b8e22c67b/62aa3af3-4ae8-42d5-951f-9c0dcaed0475.jpg;4;0
43;Rijksakademie van beeldende kunsten (national academy of fine arts);The Rijksakademie van beeldende kunsten (national academy of fine arts) in Amsterdam is an institute for exceptionally talented artists from all over the world. The Rijksakademie provides 50 artists with the opportunity to research, experiment and produce new works over a two-year period.;AMSTERDAM;Sarphatistraat 470;1018 GW;52.362946;4.917803;http://www.rijksakademie.nl,http://www.facebook.com/rijksakademie;https://media.iamsterdam.com/ndtrc/Images/20130624/7e4f8669-1d55-4e32-91f2-0a4c34cd8c60.jpg;4.5;0
44;Rijksmuseum;The Rijksmuseum is one of Amsterdam?s grandest and most popular museums. Its vast collection showcases iconic art and a wide variety of artefacts that reflect more than 800 years of Dutch and global history, including jaw dropping paintings by the likes of Rembrandt, Van Gogh and countless more Dutch greats.;AMSTERDAM;Museumstraat 1;1071 XX;52.360007;4.885185;http://www.rijksmuseum.nl/,http://www.facebook.com/rijksmuseum;https://media.iamsterdam.com/ndtrc/Images/20101207/b26d2609-979f-49cf-bb77-77a84acc1208.jpg;4.5;0
45;Stedelijk Museum;Situated on Museumplein, where it first opened in 1895, Amsterdam's Stedelijk Museum is the largest Dutch museum dedicated to modern and contemporary art and design. The collection contains extraordinary pieces of art by world-renowned artists, including a great number of works by major twentieth-century Dutch artists.;AMSTERDAM;Museumplein 10;1071 DJ;52.356429;4.879801;http://www.stedelijk.nl/,http://www.facebook.com/Stedelijk;https://media.iamsterdam.com/ndtrc/Images/20101215/5fec99a7-9084-4269-8d97-0c229c02b394.jpg;4;0
46;The Amsterdam (VOC ship);The Amsterdam was an 18th-century VOC (Dutch East India Company) vessel which was used as a cargo ship. The Amsterdam has been moored next the National Maritime Museum since 1991. This boat is actually a replica - the original was wrecked during a violent storm on its way to the Far East in 1749. You can visit the Amsterdam with a ticket of the National Maritime Museum.;AMSTERDAM;Kattenburgerplein 1;1018 KK;52.37077;4.916425;http://www.hetscheepvaartmuseum.nl/;https://media.iamsterdam.com/ndtrc/Images/20101116/a67f3c89-74f2-4dbf-9b5e-77e90173a5db.jpg;4.5;0
47;The Amsterdam Dungeon;Always a popular tourist attraction in the old heart of the city, the Amsterdam Dungeon is bigger and bolder than ever before. ;AMSTERDAM;rokin 78;1012 KW;52.370169;4.892118;http://www.theamsterdamdungeon.nl,http://www.amsterdamticketshop.nl/4450;https://media.iamsterdam.com/ndtrc/Images/20101116/1a0b8a0d-ed4c-4097-83d9-0b4e2c620915.jpg;4;0
48;Tropenmuseum;Amsterdam's Tropenmuseum (Museum of the Tropics) is a museum about people, housed in an impressive listed building overlooking Amsterdam?s Oosterpark. The extensive permanent display and regularly changing exhibitions feature objects that all have a story to tell about humankind. Through these stories about universal human themes, such as mourning, celebration, ornamentation, prayer and conflict, visitors can glimpse the past, present and future of non-Western cultures around the globe.;AMSTERDAM;Linnaeusstraat 2;1092 CK;52.362777;4.922654;http://www.tropenmuseum.nl,http://www.facebook.com/tropenmuseum;https://media.iamsterdam.com/ndtrc/Images/05/0505f9b2-6ead-46c8-bb9b-178ffe219c79/f77b5152-237e-49c5-89df-86553cb2b66a.jpg;4.5;0
49;Van Gogh Museum;The Van Gogh Museum in Amsterdam is one of the most popular museums in the world, attracting visitors from every corner of the globe. Naturally, this is in large part due to it housing the largest collection of works by Vincent van Gogh ? more than 200 paintings, 500 drawings and 700 of his letters. Having originally opened on Museumplein in 1973, the Van Gogh Museum has been expanded and modernised over the years, ensuring it's a truly cutting-edge exhibition and visitor space.;AMSTERDAM;Museumplein 6;1071 DJ;52.356429;4.879801;http://www.vangoghmuseum.nl/,http://www.facebook.com/VanGoghMuseum;https://media.iamsterdam.com/ndtrc/Images/cb/cbf77bab-b6c9-4443-b62b-4ec7c01a7f52/af75d487-19fe-45d6-bfd5-bd21102536fd.jpg;4.5;0
50;Venustempel Sex Museum;Located in the centre of Amsterdam, the Venustempel (temple of Venus) is the world's first and oldest sex museum. The museum looks at many aspects of sensual love through the ages, displaying an extensive collection of erotic pictures, paints, recordings, photographs and more. The vast collection was personally gathered by the museum?s owners and is now on permanent display in their 17th-century property on the Damrak.;AMSTERDAM;Damrak 18;1012 LH;52.376588;4.897279;http://www.sexmuseumamsterdam.nl;https://media.iamsterdam.com/ndtrc/Images/20101215/d7149fdc-2c08-4f91-b29b-da8d1225adf4.jpg;4.5;0
51;Vondelpark;The Vondelpark is Amsterdam's most popular park, attracting thousands of tourists, residents and everyone in between every day. ;AMSTERDAM;Vondelpark;1071 AA;52.357994;4.868648;http://www.hetvondelpark.net/;https://media.iamsterdam.com/ndtrc/Images/20101122/cfa10ec2-dbc1-4e03-a3a4-38d347faf07b.jpg;4.5;0
52;De Hallen Haarlem;De Hallen is Haarlem's modern and contemporary art museum, hosting exhibitions examining the latest developments in the visual arts and offering up-and-coming artists a platform to exhibit their work.;HAARLEM;Grote Markt 16;2011 RD;52.381285;4636332;http://www.dehallenhaarlem.nl;https://media.iamsterdam.com/ndtrc/Images/20141023/d6437e90-81a4-4fe9-8591-041777a7c6ba.jpg;4;0
53;Frans Hals Museum;Haarlem's Frans Hals Museum is home to the largest collection of paintings by Frans Hals in the world.;HAARLEM;Groot Heiligland 62;2011 ES;52.376897;4.633838;http://www.franshalsmuseum.nl,https://www.facebook.com/franshalsmuseum/,http://www.amsterdamticketshop.nl/nl/excursion/step1/;https://media.iamsterdam.com/ndtrc/Images/86/86268170-b538-412c-b007-ea56794dda8b/8ffd5f61-179e-4c30-bc4b-f20ab3521f85.jpg;4.5;0
54;Het Dolhuys;Dating back to 1320, this former mental health institution is now home to the national psychiatry museum: an initiative driven by seven psychiatric hospitals.;HAARLEM;Schotersingel 2;2021 GE;52.390507;4.638031;http://www.hetdolhuys.nl,http://www.hetdolhuys.nl,http://www.hetdolhuys.nl,http://www.hetdolhuys.nl;https://media.iamsterdam.com/ndtrc/Images/be/bedbfaea-1d25-43b7-9f8d-da54a2c55be3/80b1cce8eeb5cd6002e4aa77a5c61b3e018dfd10.jpg;4;0
55;Molen de Adriaan;No visit to Haarlem is complete without calling by for a guided tour of the Molen de Adriaan, a windmill close to the town centre. Set in a picturesque location alongside the Spaarne River, this tower mill has been one of the most striking features of the Haarlem skyline for centuries.;HAARLEM;Papentorenvest 1A;2011 AV;52.383691;4.642784;http://www.molenadriaan.nl;https://media.iamsterdam.com/ndtrc/Images/20141022/fac6b1d8-e26d-4620-b96e-a97f7b7ed363.jpg;4.5;0
56;Teylers Museum;One of the oldest museums in the country, the Teylers Museum invites visitors to delve into the wonderful worlds of art and science. ;HAARLEM;Spaarne 16;2011 CH;52.380226;4.640407;http://www.teylersmuseum.nl,http://www.amsterdamticketshop.nl/6143;https://media.iamsterdam.com/ndtrc/Images/20141022/bedafd24-015b-412e-8e8e-dea8a4ed9d98.jpg;4.5;0
57;Forteiland IJmuiden;The Forteiland IJmuiden is an island fortress located near the town of IJmuiden, in the mouth of the North Sea Canal. It was constructed in the 1880s to help defend the surrounding area and restrict shipping traffic heading for Amsterdam. This iconic post is actually half underground and is the largest building in the Defence Line of Amsterdam ? a UNESCO world monument.;IJMUIDEN;Forteiland 10;1976 DZ;52.465321;4.577223;http://forteilandijmuiden.com/publieksdagen/;https://media.iamsterdam.com/ndtrc/Images/20101116/27f8fdf6-fd65-4192-b208-5486c8daa7f6.jpg;4.4;0
58;IJmuider Zee en Havenmuseum;IJmuiden is one of the biggest fishing harbours in Western Europe and a great deal of maritime activities take place here.;IJMUIDEN;Havenkade 55;1973 AK;52.457412;4.598628;http://www.zeehavenmuseum.nl;https://media.iamsterdam.com/ndtrc/Images/20110217/5319c46f-ddb8-4bca-ac81-e2120fece5f1.jpg;4.5;0
59;Nationaal Park Zuid-Kennemerland;The National Park Zuid-Kennemerland is a remarkable expanse of dunes between Zandvoort and IJmuiden, covering approximately 38 hectares and attracting two million visitors each year.;IJMUIDEN;Heerenduinweg 6;1971 JE;52.453627;4.621749;http://www.np-zuidkennemerland.nl/;https://media.iamsterdam.com/ndtrc/Images/20120131/22517338-e19d-4891-b4f3-21e6299d3c22.jpg;4.5;0
